T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
5593,-2,86,1026,2590,-140,4340
5613,-1,67,1028,2590,-70,1120
5633,1,70,1026,2590,0,2170
5653,2,68,1029,2590,-210,140
5673,4,69,1027,2590,-140,700
5693,2,68,1026,2660,140,1820
5713,33,31,1029,2730,560,1540
5733,-15,85,1028,2590,0,-770
5753,-15,83,1027,2520,-140,-490
5773,0,72,1027,2520,-210,-70
5793,-4,69,1029,2520,-350,1190
5813,0,71,1029,2590,-280,1750
5833,-21,78,1028,2660,-420,-1190
5853,-27,71,1029,2520,-490,-6510
5873,12,62,1027,2590,-70,-980
5893,3,69,1028,2590,-280,2030
5913,-1,59,1027,2590,-350,2100
5933,-7,73,1033,2730,140,840
5953,5,71,1027,2660,-140,-3780
5973,11,49,1025,2800,-140,-2590
5993,-4,72,1025,3080,420,2660
6013,19,58,1022,3430,910,6300
6033,7,97,1000,3570,2450,11620
6053,-16,85,1023,4270,4900,12250
6073,-18,57,1027,3360,3290,6440
6093,-2,67,1031,2450,630,1960
6113,-16,62,1029,2590,-560,3500
6133,31,111,1022,2590,-2310,4060
6153,-28,73,1030,2520,-3500,3780
6173,10,78,1029,2590,-3080,1120
6193,5,72,1029,2520,-1190,420
6213,0,66,1029,2520,-630,1400
6233,6,61,1027,2590,-280,1890
6253,-1,64,1030,2450,-490,1960
6273,-3,78,1026,2450,-420,2870
6293,-3,78,1029,2660,-70,6720
6313,3,77,1026,2800,280,5950
6333,-20,87,1026,2870,420,6300
6353,-3,66,1029,3080,700,6650
6373,18,78,1026,3080,630,5460
6393,-18,64,1030,2940,4340,4270
6413,-44,49,1039,2730,12180,4900
6433,-25,88,1029,2310,15820,4060
6453,33,113,1036,2660,17220,3430
6473,8,74,1051,4130,18550,910
6493,-58,92,1137,8960,28350,-6650
6513,-70,91,1061,12040,6510,-140
6533,-27,123,1110,25410,-14350,12320
6553,-40,58,1108,32270,-21980,17640
6573,-68,35,868,43330,-30030,21980
6593,79,160,1153,45220,-31850,21210
6613,19,150,1071,23940,-5670,14140
6633,26,82,1049,49210,-9800,11900
6653,9,199,1094,37100,-16940,23310
6673,58,162,979,39830,-11760,24570
6693,123,180,990,39410,-23730,32760
6713,63,199,1044,42490,-12880,25410
6733,49,180,1007,48790,1820,14140
6753,62,233,1038,50330,-5110,17080
6773,-2,238,980,53200,-5880,18340
6793,96,297,929,62090,-3500,17430
6813,95,292,860,73010,-10990,29820
6833,79,310,784,79240,-19040,45990
6853,77,327,818,97790,-15750,34090
6873,53,406,815,134330,-3430,980
6893,49,480,870,164430,17080,-19110
6913,53,580,979,157290,42000,-31570
6933,22,584,952,165620,54600,-27790
6953,12,693,796,214830,45780,-17220
6973,-95,669,708,273560,26740,-560
6993,-66,859,494,310100,23170,8470
7013,34,823,666,243950,9940,11620
7033,-26,820,610,76160,280,3990
7053,64,898,717,-8260,-14560,-10780
7073,-41,798,661,8960,-29750,-5320
7093,-97,729,370,31010,-30450,10850
7113,96,788,509,32830,-8890,21070
7133,62,817,564,-9940,28210,20440
7153,-7,850,603,-22820,50470,-5600
7173,-50,880,692,-26950,44800,-12810
7193,-93,826,690,-18130,28630,-9030
7213,-72,858,610,15680,14140,-2660
7233,-14,729,582,45290,-5040,20230
7253,66,783,513,65380,-14700,29050
7273,72,992,431,124670,-22610,24710
7293,16,961,456,173320,-19390,8400
7313,-52,804,428,88900,-5320,-3080
7333,-86,773,421,-21280,6090,-1330
7353,-6,905,550,-21980,17150,-14000
7373,104,968,466,-31920,23870,-19600
7393,-4,846,534,-8190,6370,140
7413,-77,1036,610,-27650,-4550,-28140
7433,-104,839,623,35280,-27790,17080
7453,44,664,686,156660,-51730,63140
7473,142,968,152,427140,-59010,62020
7493,150,1310,-280,487550,-54110,66500
7513,85,1091,124,190190,-15680,70560
7533,186,906,144,-48300,1610,70910
